stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Krishnayyana Palya NGEF,,NGEEF,38698,Krishnayyana Palya NGEF (Towards Krishnayyana Palya),12.99212,77.65163,,
Kristu Jayanti College,,KJC,31279,Kristu Jayanti College (Towards Geddalahalli),13.05855,77.6431,,
Kristu Jayanti College,,KJC,33593,Kristu Jayanti College (Towards K Narayanapura),13.05877,77.64293,,
Krupanidhi College,,KRPNC,20947,Krupanidhi College (Towards Madivala),12.92388,77.62852,,
Krupanidhi College Gunjur Road,,KPNDCG,38768,Krupanidhi College Gunjur Road (Towards Gunjuru),12.91556,77.72356,,
Krupanidhi College Gunjur Road,,KPNDCG,38769,Krupanidhi College Gunjur Road (Towards Chikka Bellandur),12.91559,77.72346,,
Kudiyanuru,,,40340,Kudiyanuru (Towards Last Stop),12.94443,77.95709,,
Kudlu,,KDL2,31294,Kudlu (Towards Parappana Aghahara),12.88951,77.65505,,
Kudlu,,KDL2,33599,Kudlu (Towards Kudlu Gate),12.88955,77.6552,,
Kudlu,,KDL2,40480,Kudlu (Towards Hosa Road),12.88965,77.65656,,
Kudlu,,KDL2,40481,Kudlu (Towards Haraluru),12.88966,77.65649,,
Kudlu Gate,,KDG,20950,Kudlu Gate (Towards Singasandara),12.88985,77.63969,,
Kudlu Gate,,KDG,20951,Kudlu Gate (Towards Madivala),12.88977,77.63918,,
Kudlu Gate,,KGATE,31295,Kudlu Gate (Towards Electronic City),12.88931,77.64046,,
Kudlu Gate,,KGATE,36697,Kudlu Gate (Towards Kudlu),12.88939,77.64028,,
Kudlu Gate Flyover,,KDG,35797,Kudlu Gate Flyover (Towards Electronic City),12.8898,77.63955,,
Kudlu Gate Flyover,,KDG,35798,Kudlu Gate Flyover (Towards Bommanahalli),12.88976,77.63945,,
Kudlu Panchayath Office,,KDLPVLA1,34816,Kudlu Panchayath Office (Towards Kudlu Gate),12.88965,77.64904,,
Kudlu Panchayath Office,,KDLPVLA1,35381,Kudlu Panchayath Office (Towards Kudlu Village),12.88973,77.64895,,
Kudlu Slum Board,,KDL2,36696,Kudlu Slum Board (Towards Last Stop),12.88957,77.65635,,
Kudure Mukha Colony,,KMHC,20952,Kudure Mukha Colony (Towards Sarjapura),12.92572,77.6254,,
Kudure Mukha Colony,,KMHC,23333,Kudure Mukha Colony (Towards Dairy Circle),12.92553,77.62563,,
Kuduregere Colony,,KDGRG,31302,Kuduregere Colony (Towards Tarahunase),13.18741,77.60882,,
Kuduregere Cross,,KDCS,31304,Kuduregere Cross (Towards Gurukula School Tarahunise),13.16722,77.60575,,
Kuduregere Gate,,KDRCLY,38157,Kuduregere Gate (Towards Kundana),13.18972,77.60057,,
Kuduregere Gate,,KDRCLY,38158,Kuduregere Gate (Towards M V I T Collage),13.18973,77.60059,,
Kuduregere Madanayakanahalli,,KDGR,33604,Kuduregere Madanayakanahalli (Towards Thotada Guddadahalli),13.07595,77.47259,,
Kuduregere Madanayakanahalli,,KDGR1,31308,Kuduregere Madanayakanahalli (Towards Kuduregere Madanayakanahalli),13.07586,77.47248,,
Kudurugere Colony,,KDGC1,33605,Kudurugere Colony (Towards Thotada Guddadahalli),13.0682,77.47608,,
Kudurugere Colony,,KDGRC,31310,Kudurugere Colony (Towards Kuduregere),13.06818,77.4761,,
Kuguru,,KGR6,31314,Kuguru (Towards Varthuru),12.9091,77.80962,,
Kuguru,,KGR6,33607,Kuguru (Towards Mugaluru),12.9092,77.80969,,
Kuguru Gate,,KUGGT1,31316,Kuguru Gate (Towards Nerige),12.89968,77.80841,,
Kuguru Gate,,KUGGT1,33608,Kuguru Gate (Towards Mugaluru),12.89974,77.8084,,
Kukkanahalli Cross,,KKCRS1,39830,Kukkanahalli Cross (Towards Thotagere Basavanna Temple),13.14651,77.45065,,
Kukkanahalli Cross,,KKCRS1,39831,Kukkanahalli Cross (Towards Nruthyagrama),13.14643,77.45058,,
Kullappa Circle,,KLPCR1,22210,Kullappa Circle (Towards Banasawadi),13.01403,77.63935,,
Kullegowdanapalya,,KLGWDPL,31318,Kullegowdanapalya (Towards Srinivasapura),12.84672,77.44698,,
Kullegowdanapalya 1,,KLGWDPL,31387,Kullegowdanapalya 1 (Towards Srinivasapura),12.84667,77.44701,,
Kullegowdanapalya Cross,,KGPC,31320,Kullegowdanapalya Cross (Towards Gollahalli),12.84991,77.44863,,
Kullegowdanapalya Cross,,KGPC,33609,Kullegowdanapalya Cross (Towards Kenchanapalya),12.84985,77.44866,,
Kulume Kempanahalli,,KKH2,31322,Kulume Kempanahalli (Towards Kondappanahalli),13.04782,77.37255,,
Kulumepalya,,KLMP,31324,Kulumepalya (Towards Amruth Nagara),12.8326,77.55301,,
Kulumepalya,,KLMP,33611,Kulumepalya (Towards Byatarayana Doddy),12.83263,77.55304,,
Kuluvanahalli Tumakur Road,,KLVH,31326,Kuluvanahalli Tumakur Road (Towards T Beguru),13.17583,77.29908,,
Kuluvanahalli Tumakur Road,,KLVH,33612,Kuluvanahalli Tumakur Road (Towards Dabaspet Arebommanahalli),13.17569,77.29907,,
Kumaraswamy Layout,,KML0,22211,Kumaraswamy Layout (Towards ISRO Layout),12.90313,77.56165,,
Kumaraswamy Layout,,KML0,22212,Kumaraswamy Layout (Towards Banashankari Bus Station),12.90299,77.56156,,
Kumaraswamy Layout 2nd Stage,,KML 2 C,38355,Kumaraswamy Layout 2nd Stage (Towards Last Stop),12.90584,77.55814,,
Kumaraswamy Layout Police Station,,KMRSPN,22213,Kumaraswamy Layout Police Station (Towards Kumaraswamy Layout),12.9053,77.56274,,
Kumaraswamy Layout Police Station,,KMRSPN,22214,Kumaraswamy Layout Police Station (Towards Banashankari bus station),12.90514,77.56264,,
Kumaraswamy Layout West,,KMRWM,31330,Kumaraswamy Layout West (Towards Kumaraswamy Layout West),12.90336,77.55475,,
