table_name,field_name,record_id,language,translation
stops,stop_name,26782,kn,ಸ್ವಸ್ಥಿಕ್‌ ಶೇಷಾದ್ರಿ ಪುರಂ ಕಾಲೇಜ್ (ಟುವರ್ಡ್ಸ್  ಆನಂದ ರಾವ್ ವೃತ್ತ)
stops,stop_name,29515,kn,ಅಂಚಿಪುರ (ಟುವರ್ಡ್ಸ್  ಅಂಚಿಪುರ ಕಾಲೋನಿ)
stops,stop_name,33536,kn,ಕೊಡಿಯಾಲ (ಟುವರ್ಡ್ಸ್  ಅಂಚಿಪುರ ಕ್ರಾಸ್‌ )
stops,stop_name,35485,kn,ಅಂಚಿಪುರ (ಟುವರ್ಡ್ಸ್  ಅಂಚಿಪುರ ಕ್ರಾಸ್)
stops,stop_name,39076,kn,ಎಲ್‌ ಟಿ ಜಿ  ಇಂದ್ರಪ್ರಸ್ಥ (ಟುವರ್ಡ್ಸ್  ಅಂಚಿಪುರ ಕ್ರಾಸ್)
stops,stop_name,39075,kn,ಎಲ್ಟಿಜಿ ಐಶ್ವರ್ಯ (ಟುವರ್ಡ್ಸ್  ಅಂಚಿಪುರ ಕ್ರಾಸ್)
stops,stop_name,28480,kn,ಲಕ್ಷ್ಮಣ ರಾವ್ ನಗರ ಆನೇಪಾಳ್ಯ (ಟುವರ್ಡ್ಸ್  ಆನೆಪಾಳ್ಯ ಜಂಕ್ಷನ್)
stops,stop_name,29373,kn,ಅಂಜನಾಪುರ 11ನೇ ಬ್ಲಾಕ್ (ಟುವರ್ಡ್ಸ್  ಅಂಜನಾಪುರ 10ನೇ ಬ್ಲಾಕ್)
stops,stop_name,39979,kn,ನಾಯರಾ ಪೆಟ್ರೋಲ್ ಬಂಕ್ (ಟುವರ್ಡ್ಸ್  ಅಂಜನಾಪುರ 1ನೇ ಬ್ಲಾಕ್)
stops,stop_name,26979,kn,ತಿಪ್ಪಸಂದ್ರ ಚಿತ್ರಮಂದಿರ ಅಂಜನಾಪುರ (ಟುವರ್ಡ್ಸ್  ಅಂಜನಾಪುರ 2ನೇ ಹಂತ)
stops,stop_name,34428,kn,ರಾಕ್‌ ಕಾಲೋನಿ (ಟುವರ್ಡ್ಸ್  ಅಂಕೇಗೌಡನ ದೊಡ್ಡಿ)
stops,stop_name,34648,kn,ಸೊನಾರೆ ದೊಡ್ಡಿ (ಟುವರ್ಡ್ಸ್  ಅಂಕೇಗೌಡನ ದೊಡ್ಡಿ)
stops,stop_name,22695,kn,ಸೆಂಟ್‌ ಜೋಸೆಫ್‌ ಶಾಲೆ ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ (ಟುವರ್ಡ್ಸ್  ಅನ್ನಪೂರ್ಣೇಶ್ವರಿನಗರ 3ನೇ ಮುಖ್ಯರಸ್ತೆ)
stops,stop_name,34680,kn,ಶ್ರೀಗಂಧದ ಕಾವಲು ಡಿ ಗ್ರೂಪ್‌ ನೌಕರರ ಬಡಾವಣೆ (ಟುವರ್ಡ್ಸ್  ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ)
stops,stop_name,22680,kn,ರಾಜೀವ್‌ ಗಾಂಧಿ (ಟುವರ್ಡ್ಸ್  ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ)
stops,stop_name,22682,kn,ಮುನೇಶ್ವರ ದೇವಸ್ಥಾನ (ಟುವರ್ಡ್ಸ್  ಅನ್ನಪೊರ್ಣೇಶ್ವರಿ ನಗರ)
stops,stop_name,22684,kn,ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ 3ನೇ ಮುಖ್ಯ ರಸ್ತೆ (ಟುವರ್ಡ್ಸ್  ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ)
stops,stop_name,22681,kn,ಕೆಬ್ಬಹಾಳ (ಟುವರ್ಡ್ಸ್  ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ)
stops,stop_name,22685,kn,ಸೆಂಟ್‌ ಜೋಸೆಫ್‌ ಶಾಲೆ ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ (ಟುವರ್ಡ್ಸ್  ಅನ್ನಪೂರ್ಣೇಶ್ವರಿನಗರ )
stops,stop_name,29813,kn,ಬಿಡಿಎ ಕಾಂಪ್ಲೆಕ್ಸ್ ನಾಗರಭಾವಿ (ಟುವರ್ಡ್ಸ್  ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ)
stops,stop_name,22369,kn,ಒಬಳಾಪುರ ಗೇಟ್ (ಟುವರ್ಡ್ಸ್  ಅನುಗೊಂಡನಹಳ್ಳಿ)
stops,stop_name,33987,kn,ಮುತ್ಕೂರ್ (ಟುವರ್ಡ್ಸ್  N/A)
stops,stop_name,29545,kn,ಅನುಗೊಂಡನಹಳ್ಳಿ (ಟುವರ್ಡ್ಸ್  )
stops,stop_name,32706,kn,ಗೊಲ್ಲಹಳ್ಳಿ (ಟುವರ್ಡ್ಸ್  ಅಪ್ಕೋ ಫ್ಯಾಕ್ಟರಿ)
stops,stop_name,39361,kn,ಅರಕೆರೆ ಗೇಟ್ (ಟುವರ್ಡ್ಸ್  ಅರಕೆರೆ ಗೇಟ್/ಅರಕೆರೆ ಮೈಕೊ ಲೇಔಟ್)
